Date,Close,High,Low,Open,Volume
,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
2018-01-01,432.68902587890625,438.81363463022535,431.7557521644195,436.93540988731945,6580516
2018-01-02,436.853759765625,437.4720593056945,433.6339824978874,433.6339824978874,4776316
2018-01-03,432.25738525390625,438.2303312304897,431.9190564493103,437.4720463501494,4531288
2018-01-04,433.94891357421875,435.255490965294,432.3390108596568,432.3390108596568,2373776
2018-01-05,434.8122253417969,435.85050945572596,432.93402904792623,434.67223997847327,2870868
2018-01-08,434.1122741699219,436.4687846655706,433.4473223268743,435.1388809794755,4570308
2018-01-09,434.8355407714844,436.2704547930066,432.805681850187,434.4389108383009,5305528
2018-01-10,434.9522399902344,435.81553533782073,433.3423654817401,435.18555843856757,4615888
2018-01-11,436.90045166015625,437.70538887726343,433.0973497352986,434.9522199214611,4059096
2018-01-12,435.2088623046875,438.2069983198087,433.97226328025886,437.0054027547983,4336708
2018-01-15,442.780029296875,444.33160247821263,433.93725552772156,436.29376586145315,12576444
2018-01-16,443.3399963378906,445.6381770520921,439.86354622379923,444.109930026245,6445384
2018-01-17,441.0885314941406,443.9000302204196,440.2719169158653,442.6051014252233,2905496
2018-01-18,451.3078308105469,455.90419228809475,447.51640648880607,448.9046396941117,16649540
2018-01-19,455.4842834472656,457.2808526670855,447.79645162955933,451.50622081723185,11455988
2018-01-22,458.08575439453125,463.8370596482925,455.70591769427034,457.30414331521797,8849768
2018-01-23,455.2742614746094,458.8673424928477,453.40771404435424,458.47071255641987,5047796
2018-01-24,456.75579833984375,459.4039566394583,455.1108921305284,455.56588012605795,4790568
2018-01-25,460.7922058105469,461.97047523331474,455.087581789182,455.8808701196716,8723668
2018-01-29,466.5552062988281,468.2584137565709,461.50385657084894,461.50385657084894,8235892
2018-01-30,465.5869140625,467.0801576690488,462.93875565220617,466.12355782901454,6397560
2018-01-31,467.96673583984375,469.7866308781601,463.60369285070976,464.16366274567264,6943348
2018-02-01,464.5720520019531,470.13669151293925,463.20714472284436,468.03682539700054,6521420
2018-02-02,454.5043029785156,464.2803509205568,452.9877331790493,463.3704033446263,7346124
2018-02-05,446.53643798828125,451.52945771115276,444.66989068860977,447.5047150962361,7926784
2018-02-06,442.5583801269531,446.1048086357407,428.44261604616736,433.97225107870173,10749804
2018-02-07,436.958740234375,444.9382186573335,434.5322230152949,444.9382186573335,8364972
2018-02-08,438.8603210449219,442.9783973265265,435.48888088170986,439.571953700049,5171444
2018-02-09,431.5224914550781,435.068920651987,430.2625660757461,431.149187615602,6408952
2018-02-12,437.8570861816406,440.03860804915365,432.8407393772627,433.9723281926966,4381108
2018-02-14,439.37359619140625,442.81504294806587,437.3903895858736,440.92516940845593,3577188
2018-02-15,439.08197021484375,442.0801064198968,437.4720673108888,440.9018369261044,4915224
2018-02-16,438.3119812011719,442.103405552861,437.6237032498279,439.5485802283777,3583520
2018-02-19,438.21868896484375,440.41188802887194,433.7506635591105,439.24529581196924,3654552
