Date,Close,High,Low,Open,Volume
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
2018-01-01,415.2442321777344,419.64353927650944,413.8179468212587,416.91151768006387,5431340
2018-01-02,413.6974182128906,418.6391475373377,411.005612217559,416.730763707393,6112248
2018-01-03,410.3226318359375,414.46080685758034,409.23786131990886,413.21534503808317,6846552
2018-01-04,407.9521179199219,410.2019917092212,405.62186171883707,410.2019917092212,8947614
2018-01-05,406.5862121582031,412.3716384245068,404.1756219675418,407.91203185870853,11025976
2018-01-08,416.2486877441406,417.43387499025016,409.82042260652196,411.7689977562696,5594690
2018-01-09,418.37799072265625,419.8042761507061,413.3760358775011,417.83561775832084,9948236
2018-01-10,422.7572326660156,424.26385145669997,415.04336407514415,420.56763297431996,9468634
2018-01-11,432.2188415527344,435.2722459908186,423.9625505179648,423.9625505179648,16775298
2018-01-12,433.2834167480469,436.27659523156444,430.10951268717093,436.23642854286527,18016528
2018-01-15,434.3682861328125,439.1090842149857,427.91993757397216,433.90624652455557,10649250
2018-01-16,451.1217956542969,455.92291656664565,434.4083823813349,434.4083823813349,22646966
2018-01-17,462.87335205078125,466.77050118010567,451.18200274994615,451.9252580392621,26154088
2018-01-18,463.1144104003906,468.01597192180236,454.83806273676396,460.0208400888369,13204970
2018-01-19,459.3981628417969,461.18604649151604,456.4050332534726,460.020918200023,5988278
2018-01-22,462.02978515625,464.8220325012829,454.79801460597827,454.8582891692804,9650214
2018-01-23,472.9175109863281,477.296758732912,464.0385154347756,464.0385154347756,15403796
2018-01-24,476.4130554199219,490.5752746070003,469.060734777705,471.99363950338676,20604718
2018-01-25,472.234619140625,475.44873933345747,466.9513992649403,474.8862584909954,13548914
2018-01-29,475.24786376953125,480.61141711101914,468.1365933127734,468.6790153381097,10823002
2018-01-30,470.3261413574219,475.32809529125205,467.1320806274625,473.6407021444008,8628312
2018-01-31,462.1302490234375,468.69909778592955,458.8759619253171,465.7059677791736,9213698
2018-02-01,459.8601989746094,465.2036929733251,449.39425038327795,458.89595318731614,13005454
2018-02-02,459.31787109375,467.2125637513554,454.0346511342503,456.10375084992756,10244486
2018-02-05,457.2889099121094,463.9783070663418,456.34477195734405,458.01210653986743,9860220
2018-02-06,445.0552673339844,453.3316181725969,439.9930371351118,441.9214800928025,10552078
2018-02-07,445.5774841308594,451.9052827567883,443.3677766741858,448.36973120867935,8342056
2018-02-08,455.701904296875,460.58335835263154,448.59068414700937,451.10171513828595,8807244
2018-02-09,445.61767578125,450.0973655030471,444.35210617646163,449.17328635197475,4382690
2018-02-12,443.06640625,450.21779293018534,441.05758150103117,447.88758564752527,6291972
2018-02-14,441.03753662109375,448.89206212870323,438.0041911995267,444.3520979302479,8345712
2018-02-15,447.7469482421875,453.8738639942259,443.14675898349697,443.14675898349697,7986736
2018-02-16,453.2111511230469,458.67514680032303,449.21355885971144,451.9857479223537,9889222
2018-02-19,454.69757080078125,456.4050721711398,450.09738084395406,453.3516677646269,6461840
2018-02-20,456.7867126464844,461.828883185164,443.4481338108958,443.4481338108958,7188594
2018-02-21,460.9851379394531,462.7930803105428,458.0120673427238,461.0253046278733,13771358
2018-02-22,466.3486633300781,467.6543994109075,458.19281526931445,460.24185573870494,17859974
2018-02-23,464.2996826171875,468.45794011567443,460.7239646892364,467.45352772263055,9459828
2018-02-26,457.4495849609375,464.0586481425375,455.7420838387076,462.4314803968647,5083608
2018-02-27,462.1100158691406,463.49613434277876,452.24671598629817,460.00074992730055,6616026
2018-02-28,471.10955810546875,477.8993953896646,459.03655110331465,461.06543462102854,17268416
2018-03-01,466.3486633300781,469.90427331069907,464.46038769215386,469.90427331069907,6579852
2018-03-05,464.400146484375,470.3864544473141,459.31780971922143,466.34869681310846,8101456
2018-03-06,462.5721435546875,468.2169616736668,459.458464665934,467.07194118135754,6689734
2018-03-07,459.65936279296875,466.04743660340444,457.2287137782128,464.03861144563115,6370416
2018-03-08,464.70147705078125,468.37763645121834,461.6279651243969,461.6279651243969,6093014
2018-03-09,467.41357421875,468.4581537752242,464.25972767486587,466.9917012038295,4220964
2018-03-12,476.3927917480469,478.8435481460901,470.7680824210617,472.4755834667536,7676970
2018-03-13,475.6094970703125,480.912776238465,472.13421949679764,474.16310362119236,8581052
2018-03-14,474.4040832519531,478.3413504244014,469.7034038050397,474.08265166729143,4429710
2018-03-15,475.08721923828125,477.4576430795624,470.86868579049946,474.0828065126189,6101500
2018-03-16,470.82843017578125,475.04696282690696,469.7637430789239,474.8862470124336,17954826
2018-03-19,460.72393798828125,474.2835045085381,459.076711567868,467.65438309863475,7526620
