Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2018-01-01,1083.771240234375,1103.9260218086013,1079.428905580813,1098.805391326719,1351760
2018-01-02,1077.87255859375,1093.6032004718231,1073.3664023287156,1089.6705149992183,1920290
2018-01-03,1080.924560546875,1093.357496777823,1077.872683452683,1078.200423948756,1257120
2018-01-04,1088.482666015625,1090.4899139815732,1081.4776006428824,1085.5741067059237,913082
2018-01-05,1101.6322021484375,1105.8516226745382,1085.5739211289224,1085.5739211289224,1153706
2018-01-08,1111.95556640625,1117.0557964676443,1098.6215191730291,1106.0566376769152,1242220
2018-01-09,1109.7435302734375,1114.659337716509,1096.4503876486028,1112.2014339949733,2149396
2018-01-10,1149.7252197265625,1153.5758947110753,1103.8647627944968,1110.5625889778853,3365850
2018-01-11,1143.1298828125,1155.9928703367914,1139.729763176509,1151.118068698486,2520744
2018-01-12,1137.3333740234375,1149.0698225806877,1122.667863950242,1149.0698225806877,3360314
2018-01-15,1124.9412841796875,1150.298610262814,1120.4146261275762,1137.660852264076,1457214
2018-01-16,1167.852783203125,1172.276930924086,1126.7647964038067,1128.9973728025545,4267752
2018-01-17,1183.4599609375,1198.2278835734119,1172.4813059675894,1175.697102856647,4280806
2018-01-18,1195.4425048828125,1201.5053544954228,1174.8985648236792,1186.7579311194136,2209478
2018-01-19,1212.279052734375,1221.5781014451181,1189.4819366084441,1200.5015978663175,1820000
2018-01-22,1279.6617431640625,1287.176142187684,1199.8369049855485,1215.8511552574296,4367110
2018-01-23,1273.7486572265625,1290.3172847922006,1268.8417474073817,1279.066188792109,3239610
2018-01-24,1303.560302734375,1338.2373015780363,1265.8035394410897,1268.8216504570196,5621538
2018-01-25,1281.5714111328125,1305.695446065326,1265.125985141688,1303.7244410337098,3833844
2018-01-29,1313.517578125,1324.2552980387698,1281.9612528610974,1285.8210576610225,3141060
2018-01-30,1294.62890625,1315.5500656822767,1290.8716568508294,1305.7772473659359,1574758
2018-01-31,1277.9986572265625,1293.4585261777636,1272.352608104358,1288.1204433713158,3043214
2018-02-01,1288.7777099609375,1309.8836318285437,1268.3287228687045,1282.782591170022,2400630
2018-02-02,1294.9573974609375,1309.883539967563,1274.3442031828138,1281.1400140121618,2456490
2018-02-05,1274.24169921875,1309.0624519942123,1263.4218736689218,1277.0339478362612,2757742
2018-02-06,1230.7362060546875,1263.544848201551,1225.706088939275,1235.9716340727698,2657306
2018-02-07,1213.408203125,1244.594914773232,1210.2874367460001,1242.9524272578599,2180324
2018-02-08,1221.271484375,1243.1987512815572,1215.0300523143246,1223.5504556889518,2755004
2018-02-09,1220.244873046875,1229.401759912416,1189.427684633111,1211.334399379301,2102458
2018-02-12,1218.4384765625,1241.453855857346,1213.6136688706513,1222.955317805933,1974562
2018-02-14,1195.64892578125,1221.3743489495585,1187.7239026814802,1219.54710145687,2847532
2018-02-15,1201.4178466796875,1208.4599705263945,1192.8974442371382,1203.9225795372163,2465236
2018-02-16,1204.374267578125,1231.7011678970218,1200.2474985169106,1200.2474985169106,2515756
2018-02-19,1200.49365234375,1212.6890968867087,1188.8319358157416,1209.2809166980792,1568224
2018-02-20,1209.1785888671875,1225.7266680498926,1202.2595711895378,1202.3006734707953,1889068
2018-02-21,1249.2349853515625,1257.5706296974274,1215.461335186864,1221.1894904536548,3089228
2018-02-22,1252.478759765625,1264.3046892177517,1241.104554452957,1253.2178991531596,3463010
2018-02-23,1262.990478515625,1268.4106659082681,1228.6214559185362,1252.3964166462345,3362500
2018-02-26,1244.8824462890625,1268.8011729652653,1240.570916158588,1262.6623953532026,1363882
2018-02-27,1249.2552490234375,1264.1197378443314,1245.0052733763428,1248.7008695044387,1717800
2018-02-28,1246.258056640625,1258.1249898221495,1240.6735585260897,1246.2375054950846,2706864
2018-03-01,1247.3460693359375,1256.995683550826,1240.0780820835562,1251.9861166466103,1718124
2018-03-05,1275.330078125,1278.532848770298,1245.3956812326965,1251.9861828288067,2858168
2018-03-06,1249.4404296875,1284.0147761722028,1244.246002119006,1281.9616665205042,1906764
2018-03-07,1243.136962890625,1268.4107550259325,1239.4619177875616,1260.6089407347404,1917772
2018-03-08,1233.487548828125,1254.4087130969876,1226.732839102877,1254.4087130969876,1951826
2018-03-09,1245.8677978515625,1257.8168335624543,1222.503354386866,1233.9186618911954,1872436
2018-03-12,1253.2794189453125,1266.3166624702644,1246.4426053540642,1249.5222691788558,2091340
2018-03-13,1185.38330078125,1207.1051588215032,1179.3060767148559,1201.0279347551088,88067154
2018-03-14,1185.4241943359375,1200.2682345593537,1180.558385498799,1187.9084766111737,3668668
